",CollectionDate,Sample,Gross Weight,Net Weight,Sanity Height,Dry%,Brix1,Brix2,Brix3,Brix4,Nitro1,Nitro2,Nitro3,Nitro4,Nitro5,Nitro6,pre_Lidar,post_Lidar,diff_Lidar,SanityHeight,Biomass,JAIRGB,JAIir,GPSlong,GPSlat,ATemp,CTemp"
"0,20190515,2000,925,902,22.6,27.1,7.7,3.3,2.5,4.7,,,,,,,103.114065598,112.903970382,9.789904784,22.6,36080.0,15.991,77.205,53.19178583333333,-6.986538833333333,29.144,20.947"
"1,20190515,2001,981,958,23.8,37.9,4.4,4.2,4.8,4.0,,,,,,,104.747661934,104.747661934,0.0,23.8,38320.0,16.707,69.64,53.19195316666666,-6.9865715,22.292,20.146"
"2,20190515,2003,804,781,23.5,31.9,3.2,3.5,2.2,2.5,,,,,,,104.747661934,116.975116032,12.227454098,23.5,31240.0,25.037,107.842,53.192175,-6.9867655,21.590,21.616"
"3,20190515,2004,964,941,27.3,28.4,3.0,2.9,3.9,3.1,,,,,,,99.8444451165,123.479725425,23.6352803085,27.3,37640.0,24.599,133.506,53.19237666666667,-6.986867833333333,26.741,21.899"
"4,20190515,2005,1317,1294,19.0,33.9,5.7,5.4,2.0,3.2,,,,,,,103.930963663,120.2288118,16.297848137,19.0,51760.0,30.566,137.725,53.19264983333333,-6.987146666666667,23.558,21.919"
"5,20190515,2006,621,598,26.6,35.2,4.3,2.8,3.5,3.4,,,,,,,95.7527376652,116.975116032,21.2223783668,26.6,23920.0,20.033,112.06,53.1929365,-6.987306666666667,24.404,20.274"
"6,20190515,2007,925,902,27.1,35.9,4.4,3.8,4.8,4.3,,,,,,,99.0265251706,115.347201782,16.3206766114,27.1,36080.0,27.395,123.6,53.19278883333333,-6.987564333333333,25.339,21.061"
"7,20190515,2008,919,896,23.3,36.4,3.9,3.3,2.8,2.2,,,,,,,151.009302421,151.009302421,0.0,23.3,35840.0,19.502,81.306,53.19259233333333,-6.987843666666667,20.080,20.435"
"8,20190515,2009,863,840,28.3,41.9,2.6,3.3,5.0,3.6,,,,,,,99.0265251706,111.274228211,12.2477030404,28.3,33600.0,14.704,52.263000000000005,53.19239783333333,-6.9880553333333335,19.853,20.570"
"9,20190515,2010,673,650,27.3,47.8,3.4,3.9,3.8,7.0,,,,,,,108.828207282,92.4754963415,-16.3527109405,27.3,26000.0,15.5,74.428,53.19244366666667,-6.98846,21.601,20.465"
